光學字符識別	OCR
V形	vee
V形臂章	chevron
Windows媒體播放器	Windows Media Player
X光	X-ray
X光照片	skiagraph
X射線學	roentgenology
X射線照相	roentgenography
X射線療法	roentgenotherapy
X射線計	roentgenometer
YAML語言	YAML Ain't Markup Language
Y形	wye
子代理	subagent
ZD網	ZDnet
Z圖書館	Z-Library
Z殼	zsh
Z調制解調器	zmodem
gitignore文件	gitignore
iA寫作軟件	iA Writer
iCloud雲盤	iCloud Drive
iCloud郵件	iCloud Mail
iPod經典版	iPod Classic
iTunes匹配	iTunes Match
iTunes商店	iTunes Store
iTunes連接	iTunes Connect
npm配置文件	.npmrc
nvALT軟件	nvALT
n元語法	ngram
qBittorrent增強版	qBittorrentEE\tqBittorrent Enhanced Edition
séance	séance
vBulletin論壇	vbulletin
vLLM框架	vLLM
vs.	vs.
x-	x-
yaml文件	.yaml
μ	mu
μ子	muon
π介子	pion
㺢㹢狓	okapi
鮣魚	remora
䳍	tinamou
鳾	nuthatch
鸊鷉	grebe
一	one
一個	an
一些	some
一代	generation
一價的	univalent
一份	serving
一會兒	jiff
一位論化	Unitarianize
一位論派	Unitarian
一體	oneness
一元的	unary
一元鹼的	monobasic
一元論	monism
一元論者	monist
一切	everything
一加	OnePlus
一勺	ladleful\tspoonful
一勺的量	scoopful
一半	half\tmoiety
一卷	wad\thank
一口	mouthful
一品紅	poinsettia
一團	dollop
一塊	gob
一夫一妻制	monogamy
一夫一妻的	monogamous
一夫一妻者	monogamist
一夫多妻制	polygyny
一妻制	monogyny
一妻多夫制	polyandry
一妻多夫的	polyandrous
一對	pair\tcouple
一小塊	gobbet
一塵不染	spotless
一歲崽	yearling
一帽量	capful
一年兩次的	biannual
一戰	WWI\tWorld War I
一打	dozen
一批	passel
一抱	armful\tarmload
一月	jan\tjan.
一本正經的	prim
一束	skein\tbunch
一條麪包	loaf
一杯	cupful\tglassful
一枝黃花	goldenrod
一次	once
一次性	throwaway\tdisposable
一氧化物	monoxide
一氧化碳	CO\tcarbon monoxide
一流的	first-rate
一滿盒	boxful
一菸斗的量	pipeful
一生	lifetime
一百二十	sixscore
一盤	dishful\tplateful
一瞥	glance\tglimpse
一碗	bowlful
一神論	monotheism
一神論的	monotheistic
一神論者	monotheist
一窩	brood
一簇毛	floccus
一縷	wisp
一羣	bevy\tcovey
一致	jibe\taccord
一致地	unanimously\tconsistently
一致性	coherence\tuniformity
一致的	congruous\taccordant
一般的	general
一船貨	boatload
一茶匙	teaspoonful
一袋	sackful
一角	dime
一角硬幣	dimes
一起	together
一車貨	cartload
一鏟量	spadeful
一鍵	OneKey
一隊	posse
一陣	whiff
一院制的	unicameral
丁基	butyl
丁字褲	thong
丁尼生	Tennyson
丁烷	butane
丁酸的	butyric
丁酸鹽	butyrate
丁香	lilac\tclove
丁鯛	tench
七	seven
七人	sevens
七倍	sevenfold
七倍的	septuple
七元組	heptad
七十	seventy
七十年代	seventies
七葉樹	buckeye
七葉樹果	conkers
七國時代	heptarchy
七巧板	tangram
七月	jul\tJuly
七極管	heptode
七步格	heptameter
七鹼基	heptabase
七角的	septangular
七邊形	heptagon
七進制的	septimal
七鰓鰻	lamprey
萬事達卡	mastercard
萬億	trillion
萬億分之一	trillionth
萬向節	gimbal
萬聖節	Halloween\tallhallows
萬塞	Wansee
萬寶路	Marlboro
萬壽菊	marigold
萬歲	heil\tviva
萬斯	Vance
萬斯利	Wansley
萬斯門特	Vancement
萬無一失	surefire\tfoolproof
萬物有靈論	animism
萬物有靈論的	animistic
萬物有靈論者	animist
萬神殿	pantheon
萬絡	vioxx
萬維網	www
萬維網聯盟	WC
萬能藥	panacea
萬能鑰匙	passkey
萬花筒	kaleidoscope
萬象	Vientiane
萬豪	Marriott
丈夫	husband
三	iii\tthree
三K黨	Klan
三K黨成員	klansman
三世	sansei
三人組	threesome
三價的	trivalent
三份	triplicate
三位一體	trine\ttriune
三位一體的	trinitarian
三體船	trimaran
三便士	threepence
三倍	triple\ttreble
三倍體	triploid
三倍地	trebly
三倍的	trinal
三元的	ternary\ttribasic
三出的	ternate
三分	trifurcate
三分法	trichotomy
三列槳戰船	trireme
三十	thirty\tthirties
三十天	trental
三叉戟	trident
三疊紀	trias\tTriassic
三葉	trifoliate
三葉草	clover\ttrefoil
三葉蟲	trilobite
三合會	triad
三合元音	triphthong
三頭執政	triumvir
三頭政治	triumvirate
三頭肌	triceps
三婚	trigamy
三婚者	trigamist
三字母	trigraph
三字母的	triliteral
三字經	trigram
三尖瓣	tricuspid
三年一次	triennial
三形	triform
三戰	WWIII\tWorld War III
三振出局	strikeout
三方	tripartite
三明治	sandwich
三星	Samsung
三星蓋樂世	Samsung Galaxy
三月	mar.\tMarch
三極管	triode\ttrisistor
三桅帆船	barque\tfelucca
三棱的	triquetrous
三次	thrice
三段論	syllogism
三段論地	syllogistically
三段論的	syllogistic
三氧化物	trioxide
三洋	sanyo
三點	trey
三焦點	trifocal
三硝基甲苯	trinitrotoluene
三神論者	tritheist
三端雙向可控硅	triac
三等分	trisect\ttrisection
三美分	trime
三翼機	triplane
三聯畫	triptych
三聚氰胺	melamine
三股線	tricoline
三胞胎	triplet
三腳架	tripod
三色堇	pansy\tpansies
三色的	trichrome
三藝	trivium
三苯甲烷	triphenylmethane
三菱	mitsubishi
三行詩	tercet\ttriolet
三裂植物	triffid
三裂的	trifid\ttrilobate
三角	trig
三角學	trigonometry
三角學的	trigonometric
三角帆	lateen
三角帽	tricorn
三角座	Triangulum
三角形	trigon\ttriangle
三角形的	triangular
三角旗	pennon
三角洲	delta
三角測量	triangulate
三角測量法	triangulation
三角的	trigonal
三角肌	deltoid
三角龍	Triceratops
三語	triglot
三趾濱鷸	Sanderling
三趾鷗	kittiwake
三趾鴉雀	santch
三輪車	pedicab\ttricycle
三軸	triax
三邊的	trilateral
三部曲	trilogy
三重奏	trio
三鍾經	angelus
三面體	trihedron
三面的	trihedral
三音步	trimeter
三駕馬車	troika
上	sur\tsupra
上下動	bobbing
上傳	upload
上傳中	uploading
上側	topside
上光	glossed\tglossing
上衝程	upstroke
上勾拳	uppercut
上升	ups\trise
上升氣流	updraft
上升的	ascendant\tascending
上升趨勢	uptrend
上午	forenoon
上午中段	midmorning
上坡	uphill\tacclivity
上坡的	acclivitous
上城區	uptown
上墨	inking
上層	superstratum
上層建築	superstructure
上岸	ashore
上帆	topsail
上帝	God
上手	overarm\toverhand
上新世	Pliocene
上標	superscript\tsuperscription
上校	colonel
上桅	topgallant
上海	Shanghai
上清液	supernatant
上游	upriver\tupstream
上漆的	lacquered
上演	staging
上演的	staged
上癮的	hooked\taddicted
上皮的	epithelial
上皮組織	epithelium
上籃	layup
上級	superior
上翹	uptilt
上腰肉牛排	porterhouse
上船	onboard
上色	colorise\tcolorize
上蠟	waxing
上蠟的	waxed
上蠟者	waxer
上行鏈路	uplink
上覆的	superincumbent
上訴	appeal
上訴了	appealed
上訴人	appellor\tappellant
上訴的	appellate
上訴者	appealer
上車	embus
上述	abovementioned
上述的	aforementioned
上部的	upper
上釉	glaze\tenameling
上釉工	glazer
上釉的	glazed\tenameled
上鏡的	photogenic
上面	above
上領	collaring
上頜的	maxillary
上頜骨	maxilla
上顎	palate
下一個	next
下丘腦	hypothalamus
下主音	subtonic
下伏的	subjacent
下伸部分	descender
下體蓋片	codpiece
下劃線	underlining
下加利福尼亞	Baja
下午	pm\tafternoon
下午茶時間	teatime
下脣	underlip
下坡	downhill
下垂	sag\tdroop
下垂的	loppy\tsaggy
下墊	underlay
下士	caporal\tcorporal
下射的	undershot
下層	understratum
下層灌木	underbrush\tundergrowth
下層階級	underclass
下屬	underling\tsubordinate
下巴	jaw\tchin
下懸的	underslung
下拉	pulldown
下推	pushdown
下搭	underlap
下襬	hems\themline
下文	hereinafter
下方	below
下月	proximo
下標	subscript
下毒	envenom
下水道	sewer
下沉	sink\tsinkage
下注	staked
下流	indecency
下流的	bawdy\tribald
下流話	ribaldry
下游	downstream
下溢	underflow
下界	nether
下疳	chancre
下等	inferiority
下等人	inferiors
下等的	inferior
下細雨的	drizzly
下置	underset
下翼	underwing
下腹的	hypogastric
下船	debark\tdisembark
下落	whereabouts
下落斷層	downthrow
下落的	cadent
下行鏈路	downlink
下車	detrain
下載	download\ttelecharger
下述	undermentioned
下部結構	substructure
下降	decline\tdescent
下降的	falling\tdeclined
下降者	decliner
下降趨勢	downtrend
下降風	katabatic
下雨	raining
下雨了	rained
下雪	snows\tsnowing
下雪了	snowed
下雪地	snowily
下面	underneath
下頜下的	submaxilary\tsubmaxillary
下頜的	mandibular
下頜骨	mandible
下風	alee
下飛機	deplane
下馬	dismount
下馬中	dismounting
不	ne\tun
不一致	discrepant\tdiscordance
不一致地	inconsistently
不丹	Bhutan
不久	anon\tshortly
不義	unrighteous
不習慣	unaccustomed
不人道的	inhumane
不仁慈	uncharitable
不令人信服的	unconvincing
不令人滿意的	dissatisfactory
不優雅	ungraceful
不會	wo'nt\twon't
不會飛的	flightless
不倫瑞克	Brunswick
不體貼	inconsiderate\tinconsiderateness
不體貼地	inconsiderately
不體面	undignified\tunpresentable
不作爲	inaction\tnonfeasance
不佳	poorly
不依賴	nonreliance
不侵犯	nonaggression
不便	incommodious\tinconvenience
不便地	inconveniently
不便的	inconvenient\tinconvenienced
不信	unbelief
不信任	mistrust\tdistrust
不信任的	mistrusted\tmistrustful
不信服的	unconvinced
不信的	unbelieving
不信者	unbeliever
不倦	unwearied\ttirelessness
不倦的	indefatigable
不值得	undeserving\tunworthiness
不值得地	unworthily
不值得的	unworthy
不值得羨慕	unenviable
不假思索的	unreflecting
不偏離	undeviating
不停	unceasing\tceaselessness
不停地	endlessly\tceaselessly
不停的	ceaseless
不健全	unsound
不健康	unhealthy\tinsalubrity
不健康地	unhealthily
不健康的	epinosic\tinsalubrious
不像	unlike\tunlidely
不像女人的	unwomanly
不允許	unallowed
不允許的	impermissible
不光彩的	inglorious
不公	unfair\tunjust
不公地	unfairly
不公正劃分選區	gerrymander
不兼容	incompatible\tincompatibility
不兼容地	incompatibly
不兼容性	incompatibilities
不再	anymore
不準	mustn't
不準確	inaccuracy\tinaccuracies
不準確的	inaccurate
不凋的	amaranthine
不出所料	unsurprisingly
不分離	indiscrete\tnondisjunction
不切實際	impractical\timpractically
不切實際地	unrealistically
不切實際的	quixotic\tunrealistic
不列顛人	Briton
不列顛的	Britannic
不利	adverse\tunfavorable
不利地	adversely\tunfavorably
不利的	unfavourable\tdisadvantageous
不加批判的	uncritical
不加掩飾	undisguised
不加選擇	indiscriminate
不加選擇地	indiscriminately
不動	unmoved\timmobility
不動關節	synarthrosis
不動的	immobile
不勞而獲的	unearned
不勻的	patchy
不勻稱	unshapely
不匹配	mismate\tmismatch
不匹配的	mismatched
不協調	incongruity\tinconsonant
不協調的	incoordinate\tuncoordinated
不衛生	unsanitary
不衛生的	insanitary
不參與	nonparticipating
不及格	flunk
不及物	intransitive
不及物地	intransitively
不友善	unkind\tunkindness
不友善地	unkindly
不友好	unfriendly
不發光	nonluminous
不受影響地	imperviously
不受影響的	impervious\tuninfluenced
不受歡迎	unwelcome\tunpopular
不受約束的	unfettered
不變	unvarying\tunchanging
不變化的	indeclinable
不變地	immutably\tinvariantly
不變性	invariance\timmutability
不變的	invariant\timmutable
不變量	invariants
不可上訴	unappealable
不可僞造的	unforgeable
不可估量	inestimable\tincalculable
不可估量性	imponderability
不可估量的	imponderable
不可侵犯	inviolability
不可侵犯地	inviolably
不可侵犯性	inviolacy
不可侵犯的	inviolable
不可信	untrustworthy
不可兌換性	inconvertibility
不可兌換的	inconvertible
不可凝	incondensability
不可分	inseparable
不可分割的	impartible
不可分地	inseparably
不可分性	indivisibility\tinseparability
不可分析	unanalyzable
不可分的	indivisible
不可分解	indissoluble\tundecomposable
不可分解性	indissolubility
不可判定	undecidable
不可剝奪	unalienable\tinalienability
不可剝奪性	unalienability
不可剝奪的	inalienable
不可協商	nonnegotiable
不可壓縮	incompressible
不可原諒	inexcusable\tunpardonable
不可原諒地	inexcusably
不可取	inadvisability
不可取的	inadvisable
不可變	unchangeable
不可變更	incommutable
不可否認	undeniable
不可否認地	undeniably
不可複製	irreproducible
不可複製性	irreproducibility
不可定義性	undefinability
不可實現	unachievable
不可察覺	imperceptibility
不可屏蔽	nonmaskable
不可廢除	indefeasible
不可征服	unconquerable
不可得	unattainability
不可忽略	nonnegligible
不可思議	inconceivable
不可思議性	inconceivability
不可想象的	unthinkable
不可感知	impalpability
不可感知的	impalpable
不可或缺	indispensable
不可或缺地	indispensably
不可執行	inexecutable
不可擴展	nonextensible
不可抑制的	insuppressible
不可抗拒	irresistible
不可抵抗的	resistless
不可抹	ineffaceable
不可接受	unacceptable
不可接受地	unacceptably
不可接受性	unacceptability
不可接納	inadmissibility
不可接納的	inadmissible
不可接觸性	untouchability
不可接觸的	untouchable
不可控	incontrollable\tuncontrollable
不可控地	uncontrollably
不可控性	uncontrollability
不可描述	indescribable
不可描述性	indescribability
不可攜帶	nonportable
不可摧毀地	indestructibly
不可摧毀性	indestructibility\tindestructibleness
不可摧毀的	indestructible
不可撤銷地	irrevocably
不可撤銷性	irrevocability
不可撤銷的	irrevocable\timperscriptible
不可改變	unalterable
不可改變地	unalterably
不可改變的	inalterable
不可改造的	irreclaimable
不可救藥	irremediable
不可救藥性	incorrigibility
不可救藥的	irredeemable\tincorrigible
不可教	ineducable
不可數地	uncountably
不可數的	uncountable
不可替代	irreplaceable
不可檢測	undetectable
不可治癒地	incurably
不可治癒性	incurability
不可治癒的	incurable
不可治的	immedicable
不可注入的	infusible
不可測地	immeasurably
不可測性	immeasurability
不可測的	immeasurable
不可消耗	inconsumable
不可溶	insoluble
不可溶性	insolubility
不可滿足性	unsatisfiability
不可滿足的	unsatisfiable
不可熄滅的	inextinguishable
不可燃的	moncombustible
不可愛	unloveliness
不可理解	incomprehensible
不可理解地	incomprehensibly
不可理解性	incomprehensibility
不可用	unusable\tunavailable
不可知	unknowable
不可知論	agnosticism
不可知論者	agnostic
不可破壞的	infrangible
不可磨滅	indelible
不可移動地	immovably
不可移動性	immovability
不可移動的	immovable
不可穿透	impenetrable\timpenetrability
不可穿透地	impenetrably
不可簡化地	irreducibly
不可簡化的	irreducible
不可糾正的	uncorrectable
不可緩解的	immitigable
不可編程	nonprogrammable
不可能	impossible\timpossibly
不可能地	improbably
不可能性	improbability
不可能的	improbable
不可行	inviable\tnonviable
不可行的	unworkable
不可觀察的	unobservable
不可言	ineffable
不可言傳	incommunicable
不可計算	uncomputable\tincomputable
不可證明	unprovable\tindemonstrable
不可證明性	unprovability
不可調和的	irreconcilable
不可贖的	inexpiable
不可辯護	indefensible
不可辯護性	indefensibility
不可辯駁性	irrefutability
不可逆地	irreversibly
不可逆性	irreversibility
不可逆的	irreversible
不可通約	incommensurable
不可通行	impassability
不可通行的	impassable
不可逾越	insurmountable
不可逾越性	insuperability
不可逾越的	insuperable\tunbridgeable
不可避免	ineludible\tinevitable
不可避免地	inevitably\tunavoidably
不可避免的	unavoidable
不可降解	nonbiodegradable
不可靠	undependable
不可靠性	unreliability
不可靠的	unreliable
不可預測	unpredictable
不可預測地	unpredictably
不可預測性	unpredictability
不可食	inedible
不可饒恕	irremissible
不合作的	uncooperative
不合時宜	inopportune\tuntimeliness
不合時宜的	malapropos
不合格	ineligible\tunqualified
不合格的	substandard
不合理	unreason\tunreasonableness
不合理地	unreasonably\tirrationally
不合理性	irrationality
不合理的	irrational\tunreasonable
不合羣	unsociable
不合羣的	asocial\tunclubbable
不合羣者	misfit
不合語法	ungrammatical
不合適	unsuitable\tunsuitability
不合適的	unfitting\tunbefitting
不合邏輯	illogical
不合邏輯地	illogically
不合邏輯性	illogicality
不同	differ\tdisparate
不同了	differed
不同地	variously\tdifferently
不同情	unsympathetic
不同意	disagree
不同步	unsynchronized
不同的	distinct\tdefferent
不同者	differers
不吸引人	unattractive
不吸引人地	unattractively
不和	discord\tdisaccord
不和藹	unamiable
不和諧	dissonance\tinharmonic
不和諧的	dissonant\tdiscordant
不善交際	unsociability
不善言辭	ineloquent
不喜歡	mislike\tdislike
不圓滑的	tactless
不在場證明	alibi
不均勻	nonuniform
不均勻性	inhomogeneity\tnonuniformity
不均勻的	inhomogeneous
不太可能	unlikely
不妥協	intransigent\tuncompromising
不存在	nonexistent\tnonexistence
不孝的	unfilial
不學術	unscholarly
不安	unease\tuneasy
不安全	unsafe\tinsecure
不安全地	unsafely\tinsecurely
不安全感	insecurity
不安地	uneasily\trestlessly
不安的	squirmy\tunquiet
不完全地	incompletely
不完整	incomplete
不完整性	incompleteness
不完美	imperfectness
不完美地	imperfectly
不完美的	imperfect
不定式	infinitive
不定式的	infinitival
不宜呼吸	irrespirable
不宜婚	unmarriageable
不宜居住的	uninhabitable
不宜居的	inhospitable
不宜工作	NSFW\tNot Safe For Work
不實	inveracity
不實在	unsubstantial
不實在的	insubstantial
不實用	unpractical
不宣誓	nonjuring
不害	ahimsa
不害羞	unashamed
不害臊的	unabashed
不容忍	intolerance
不容忍的	intolerant
不對	amiss
不對稱	asymmetry\tasymmetric
不對稱地	asymmetrically
不尋常	unusual
不尋常的	offbeat\tunwonted
不導電	nonconducting
不尊重	disrespect
不尊重的	disrespectful
不小心	unwarily
不屈的	unbowed\tunbending
不履行	nonperformance
不干涉	noninterference
不干預	nonintervention
不平	uneven\tunevenness
不平地	unevenly
不平等	unequal\timparity
不平等地	unequally
不平衡的	lopsided
不幸	mishap\tmischance
不幸事故	misadventure
不幸地	haplessly\tunhappily
不幸的	hapless\tunlucky
不幸者	unfortunates
不應得	unmerited\tundeserved
不張揚	unostentatious
不當	improper\tuntoward
不當行爲	misconduct\tmisbehavior
不得體的	unbecoming\tindecorous
不必	needn't
不必要	needless\tunnecessary
不必要地	needlessly\tunnecessarily
不忠	disloyal\tdisloyalty
不忠地	faithlessly\tunfaithfully
不忠的	faithless
不快	umbrage
不快樂	unhappy
不快樂的	joyless
不恰當	infelicity\tinapposite
不恰當的	infelicitous
不悔	impenitence
不悔的	impenitent
不悅	displeasing
不悅的	displeased
不情願	loath\tgrudging
不情願地	grudgingly\treluctantly
不情願的	reluctant
不愉快	unpleasantness
不意外	unsurprising
不感興趣	uninterested
不感恩的	unthankful
不願意	unwilling
不願的	disinclined
不懈	relentless\trelentlessness
不懈地	relentlessly
不懈的	unflagging\tunrelenting
不成文的	unwritten
不成比例	disproportion\tdisproportional
不成比例地	disproportionately
不成熟	immaturity
不成熟的	immature
不成調的	tuneless
不擴散	nonproliferation
不承認	nonrecognition
不撫養	nonsupport
不抵抗	nonresistance
不抵抗的	nonresistant
不擔憂	unapprehensive
不接受	nonacceptance
不敏感	insensitive\tinsensitivity
不敏感地	insensitively
不敏銳的	imperceptive
不敢	daren't
不敬	impiety\tirreverent
不敬的	impious
不敬神	ungodliness
不敬神的	ungodly
不整合	unconformity\tunconformable
不整潔	untidiness
不文明	uncivil
不斷地	constantly
不新鮮	stale
不明智	unwise\tunwisdom
不明智地	unwisely
不明智的	injudicious
不明飛行物	UFO\tUnidentified Flying Object
不明飛行物學家	ufologist
不易感	insusceptible\tinsusceptibility
不易激動	inexcitable
不易燃	nonflammable
不易爆的	inexplosive
不易腐	nonperishable
不是	ain't\tisn't
不顯眼	inconspicuous
不顯眼地	inconspicuously
不顯眼的	unobtrusive\tunnoticeable
不服從	disobey\trecusancy
不服從中	disobeying
不服從的	disobedient\tinsubordinate
不服從者	recusant
不朽	immortality
不朽地	immortally
不朽性	imperishability
不朽的	undying\timmortal
不來梅	Bremen
不民主	undemocratic
不氣餒	undismayed
不溝通	noncommunication
不法之徒	outlaw
不法行爲	delict\twrongdoing
不注意	unheeding\theedlessness
不注意地	heedlessly
不注意的	heedless
不潔	unclean\tuncleanness
不潔地	uncleanly
不活躍	inactivity
不活躍的	inactive
不混溶	immiscible
不清楚	unclear
不滲透性	impermeability
不滲透的	impermeable
不滿	grievance\tdiscontent
不滿意	unsatisfactory
不滿的	malcontent\tdisaffected
不滿足的	unsatisfying
不靈活	inflexibility
不熟悉	unversed\tunacquainted
不熟練	unskillful
不熟練的	inexpert
不燃	noncombustible
不燃性	incombustibility
不燃的	incombustible
不愛國的	unpatriotic
不理智的	unreasoning
不理解	incomprehension
不生鏽的	rustless
不相信	disbelieve
不相稱	incommensurate
不真實	untrue\tunreality
不真實的	unreal
不真誠	insincere\tinsincerity
不眨眼的	unwinking
不知不覺地	insensibly
不知何故	somehow
不知情	unknowing
不知情的	unwitting\tuninformed
不知疲倦地	tirelessly
不知疲倦的	tireless\tuntiring
不知道	dunno
不確定	unsure\tuncertain
不確定地	uncertainly\tindeterminately
不確定性	uncertainty\tindeterminacy
不確定的	indeterminate\tnondeterminate
不禮貌	impolite\tungracious
不神聖	unholiness
不祥	ominousness\tinauspicious
不祥地	ominously
不祥的	ominous\tportentous
不科學	unscientific
不穩固	unsteady
不穩地	unsteadily
不穩定	unstable\tprecarious
不穩定地	erratically\tprecariously
不穩定的	labile\terratic
不等像的	aniseikonic
不等邊的	scalene
不管	regardless
不粘合的	incohesive
不精確	inexact\timprecise
不精確地	imprecisely
不緊密	incompact
不純的	impure
不紳士	ungentlemanly
不終止	nonterminating\tnontermination
不經濟	uneconomic\tuneconomical
不結盟	unaligned\tnonaligned
不統一	disunity
不美	unlovely
不美觀地	unaesthetically
不耐煩	impatience
不耐煩地	impatiently
不耐煩的	impatient
不聚焦的	unfocused
不育	sterility\tinfertility
不育的	infecund\tinfertile
不能	can't\tcannot
不能手術	inoperable
不腐敗的	uncorrupt
不自信	unassertive
不自然	unnatural\tunnaturalness
不自然地	unnaturally
不舒服	uncomfortable
不舒服地	uncomfortably
不舒適的	comfortless
不般配的婚姻	mismarriage
不良	undesirable
不虔誠	irreligious
不表態	noncommittal
不褪	unfading
不褪色	colorfast\tcolourfast
不褪色的	fadeless
不要	don't
不觀察的	unobservant
不規則地	irregularly
不規則性	irregularity
不規則現象	irregularities
不規則的	irregular
不討喜	unpleasing
不論	irrespective\tirrespectively
不識字的	unlettered
不誠實	dishonest\tdishonesty
不誠實地	dishonestly
不該	oughtn't\tshouldn't
不詳	chiarnlurng
不謙虛的	immodest
不謹慎	unwary
