#兼容所有拼音類型的公共簡碼庫	
gj	感覺	根據	關鍵
mp	冒泡	門票	名片
mr	默認	沒人	每人
ms	貌似	民俗	門鎖
mt	明天	每天	模特
mv	某種	命中	每週
mw	末尾	名爲	滅亡
nb	內部	牛逼	年報
np	哪怕	奶瓶	女僕
nw	內外	牛蛙	挪威
pd	判斷	碰到	片段
pe	配額	普洱	賠額
pq	拋棄	脾氣	貧窮
pr	騙人	烹飪	旁人
ps	配送	菩薩	破碎
pt	普通	平臺	拼圖
pv	配置	拍照	批准
pw	品味	噴霧	排位
qa	親愛	竊案	全案
qb	全部	區別	豈不
qe	全額	企鵝	卻額
qf	區分	氣氛	缺乏
qg	奇怪	全國	去過
qh	切換	青海	侵害
qj	全局	期間	清潔
qk	情況	缺口	切開
ql	起來	強烈	潛力
qv	其中	羣衆	確診
qz	親自	圈子	茄子
ra	熱愛	仁愛	擾啊
rc	如此	揉搓	人才
rd	認得	熱點	認定
rg	如果	人工	日光
rl	人類	日曆	熱量
rm	人們	人民	入門
rn	仍能	容納	日內
rq	日期	熱情	人氣
rt	如同	如題	認同
rw	認爲	人物	任務
rx	如下	日線	人心
ry	容易	燃油	肉眼
rz	仍在	融資	日子
sc	算錯	三次	色彩
sd	速度	賽道	酸度
um	說明	上面	什麼
sn	肆虐	思念	三年
sq	索取	四驅	訴求
sw	所謂	思維	三維
sx	思想	私信	搜尋
sy	所以	三亞	瘙癢
sz	私自	所在	色澤
td	他的	聽到	太多
tf	頭髮	頹廢	颱風
tn	太難	頭腦	推拿
tq	提前	天氣	太強
tt	天天	偷偷	疼痛
tw	臺灣	太晚	跳舞
uc	手冊	上次	收藏
un	少年	少女	十年
uq	事情	上去	社區
uu	試試	少數	是啥
ut	試圖	身體	沙灘
ux	實現	剩下	上下
vc	至此	這次	榨菜
vm	這麼	證明	週末
vn	只能	智能	中年
vq	之前	正確	追求
vt	狀態	折騰	主體
vx	這下	只想	這些
vy	這樣	只有	主要
wb	外部	未必	微博
wc	臥槽	未曾	晚餐
wd	我的	文檔	穩定
we	萬惡	玩兒	娃兒
wi	完成	未嘗	維持
wm	我們	外面	完美
wn	無奈	未能	萬能
wp	網盤	物品	尾盤
wq	完全	委屈	溫泉
wr	微軟	圍繞	污染
wu	爲啥	外甥	文殊
wt	問題	舞臺	外套
wv	位置	爲止	未知
ww	嗚嗚	微微	娃娃
wx	微信	微笑	微小
wy	唯一	我也	外語
xa	西安	相愛	懸案
xb	想必	性別	新版
xe	邪惡	限額	險惡
xf	想法	相反	消費
xg	修改	習慣	性格
xh	喜歡	幸好	學會
xj	新建	新疆	胸襟
xk	辛苦	幸虧	笑哭
xl	下來	序列	旋律
xt	系統	夏天	協調
xv	性質	旋轉	學者
xz	現在	選擇	下載
yj	已經	意見	眼睛
yc	因此	一次	洋蔥
yd	一定	有點	運動
yf	一份	一分	衣服
yg	一個	應該	緣故
yl	以來	原來	有了
ym	要麼	頁面	鬱悶
yq	以前	與其	尤其
yv	一直	一種	一致
yw	因爲	以爲	業務
yx	一下	郵箱	一些
zc	自從	再次	總裁
zd	自動	自帶	做到
zm	怎麼	在嗎	責罵
zn	怎能	在哪	早年
zq	增強	暫且	足球
zt	昨天	總統	字體
zw	作爲	座位	最爲
zx	在線	諮詢	最新
zy	怎樣	作用	左右
ab	啊不	安保	阿爸
ac	艾草	凹槽	按錯
ae	捱餓	埃爾
af	安撫	安防	暗訪
ag	愛國	阿哥	按個
hg	很高	換個	昂貴
ak	安康	拗口	按克
al	案例	安利	阿拉
am	曖昧	按摩	傲慢
ar	愛人	黯然
as	阿三	暗算	懊喪
au	暗示	按時	傲視
aw	安慰	安穩	愛玩
ax	安心	愛心	愛惜
az	案子	暗自	矮子
be	不餓	匾額	報恩
bs	不是	比賽	不算
bx	必須	不想	表現
by	不要	不用	表演
bz	並在	不在	不再
cb	從不	慘敗	蒼白
ck	參考	倉庫	詞庫
cl	從來	材料	測量
cp	測評	脆皮	藏品
db	代表	對比	短板
dl	到了	多了	地理
na	嗯啊	哪啊
ea	恩愛	兒啊
ej	耳機	二級
em	噩夢	峨眉	耳目
oe	偶爾	喔喔
fb	方便	發佈	分別
gb	改變	根本	更不
gp	股票	公平	攻破
hb	回報	湖北	紅包
hp	好評	和平	害怕
ib	成本	初步	常備
ip	產品	川普	長篇
jc	精彩	聚餐	就此
jo	奇偶	解耦	驕傲
js	就算	計算	角色
jt	今天	交通	家庭
jw	今晚	極爲	鍵位
kb	恐怖	空白	快報
kp	靠譜	恐怕	卡片
ml	美麗	魅力	命令
mq	目前	明確	母親
mx	明顯	某些	描寫
ny	那樣	你也	紐約
pl	評論	頻率	漂亮
pu	拍攝	配上	排水
px	培訓	排序	評選
py	朋友	拼音	攀巖
qc	其次	奇才	全程
qd	確定	缺點	前端
qo	羣毆	求偶	全歐
qw	千萬	切勿	青蛙
rb	日本	若不	熱播
rk	人口	認可	仍可
rp	人品	肉片	任憑
sb	隨便	散佈	送別
sk	思考	鬆開	散開
sl	算了	森林	塑料
sm	什麼	掃描	說明
sp	碎片	索賠	賽跑
st	三天	痠痛	灑脫
tb	特別	淘寶	同步
tl	討論	鐵路	調料
tx	同學	提醒	退休
ub	識別	設備	上班
up	視頻	水平	刷屏
us	事實	是啥	深色
vb	準備	直播	裝備
vp	照片	追捧	帳篷
wk	胃口	外殼	唯恐
wl	爲了	網絡	無論
ws	爲啥	網速	哇塞
wz	文字	王子	外在
xc	下次	瑕疵	相冊
xd	行動	現代	相當
xo	西歐	小歐	信鷗
xw	希望	新聞	下午
xy	需要	小藝	信用
yn	雲南	越南	也難
yp	影片	用品	一片
zb	嘴巴	左邊	走吧
zk	最快	走開	宰客
zl	資料	做了	走了
zp	作品	早盤	贈品
ah	愛好	啊哈	懊悔
hr	黑人	環繞	壞人
hs	還算	黑色	划算
hz	好在	火災	彙總
aa	矮矮	暗暗
ai	熬成	哀愁	安插
an	按鈕	安寧
bh	不會	疤痕	崩壞
bg	不管	報告	不夠
bi	變成	播出	奔馳
bj	比較	畢竟	並將
bk	包括	本科	並可
bn	不能	保暖	彆扭
bc	保存	白菜	並存
bf	並非	比方	本分
bl	本來	比例	別離
ba	辦案	悲哀	備案
bm	編碼	別忙	部門
bo	北歐	波折
cc	從此	此次	層次
cg	錯過	採購	餐館
ch	纔會	策劃	才華
ci	存儲	財產	此處
cu	測試	從事	促使
cv	財政	從中	參照
cj	曾經	促進	刺激
cs	廁所	彩色	滄桑
ce	刺耳	側耳	策爾
cf	存放	此番	冊封
cr	曾任	殘忍	存入
ca	慘案	錯愛	草案
da	答案	檔案	對岸
de	第二	大額	定額
di	調查	電池	單純
dq	定期	當前	短期
dr	當然	等人	多人
ds	打算	屌絲	堵塞
dw	單位	地位	到位
dy	電影	導演	大於
dc	多次	對此	代詞
dg	大概	代購	都給
du	但是	都是	倒是
dh	電話	帶回	多好
dj	動機	代駕	跌價
dx	東西	大小	短線
dp	點評	燈泡	短篇
dv	地址	對賬	跌至
dz	都在	動作	短暫
dk	對抗	點開	斷開
dm	都沒	店面	對面
do	對偶	鬥毆
eg	兒歌	惡搞	恩公
eh	嗯哼
ei	而成	恩仇	二層
er	恩人	二人
en	兒女	恩呢
fa	方案	法案	翻案
ff	發放	紛紛	反腐
fg	風格	分割	法規
fh	發貨	返回	複覈
fj	佛教	發覺	否決
fz	否則	放在	發作
fu	防守	佛山	費時
gl	過來	給了	咖喱
gv	廣州	改正	過着
ga	港澳	高傲	公安
gd	搞定	掛斷	跟單
ge	感恩	高額	宮娥
gg	剛剛	各個	改革
gk	高考	觀看	滾開
gr	果然	個人	給人
gz	跟蹤	掛在	鴿子
gf	股份	廣泛	跟風
gh	更好	剛好	光滑
gs	跟隨	光速	該死
gw	各位	官網	崗位
gu	跟上	光說	故事
gy	關於	過於	根源
hd	很多	厚道	黑點
hf	恢復	哈佛	後方
hh	很好	哈哈	嘿嘿
hl	回來	後來	換了
ha	黑暗	好啊	海岸
he	好餓	花兒	厚恩
hu	何時	還是	很少
hy	還有	還要	好友
hj	很久	海軍	漢奸
hv	或者	活着	很重
hk	很快	昏聵	好看
hw	華爲	貨物	很晚
ia	寵愛	塵埃	查案
ig	成功	常規	穿過
ih	窗戶	插畫	車禍
ii	超出	拆除	傳出
il	出來	處理	車輛
iv	查找	垂直	車展
ie	超額	嫦娥	醜惡
ir	承認	超人	傳染
if	除非	拆分	長髮
is	場所	傳送	重塑
ij	持久	陳舊	車間
iy	持有	創意	穿越
iu	傳說	充實	純屬
id	程度	傳導	垂釣
ik	出口	重開	抽空
jx	就像	進行	江西
jp	鍵盤	精品	獎品
jy	精英	迥異	建議
ji	經常	獎懲	檢察
jn	江南	均能	今年
jq	進去	將其	借錢
ju	就是	軍師	結束
jr	迥然	進入	今日
kd	肯定	看到	寬帶
kf	開發	客服	咖啡
kh	看好	口號	恐慌
ks	快速	虧損	看似
ka	可愛	口岸	酷愛
ke	烤鵝
kg	考古	快感	跨過
kk	看看	開口	慷慨
kr	客人	困擾	寬容
kv	看着	擴展	誇張
kw	口味	考完	礦物
kz	開在	快走	看在
kl	快了	哭了	可憐
kj	空間	框架	快捷
ku	扣稅	快說	闊少
kc	咔嚓	喀嚓	空倉
ld	拉倒	勞動	流動
lh	靈活	來回	拉黑
lm	裏面	亂碼	喇嘛
lp	樓盤	兩瓶	拉票
lq	力氣	錄取	樂趣
lr	列入	流入	懶人
ls	拉薩	勒索	朗誦
lv	兩張	留着	拉着
lw	另外	辣味	來往
lx	練習	類型	樓下
ly	留言	樂園	洛陽
lg	兩個	老公	理工
lu	樓上	冷水	老實
lz	來自	卵子	老早
lt	連同	樂天	裸體
lj	鏈接	兩句	樂見
ll	累了	另類	榴蓮
la	冷傲	立案
lc	兩次	冷藏	留存
li	列出	流暢	療程
ln	兩年	列寧	冷暖
lb	列表	領班	兩遍
lk	留空	臉孔	立刻
ma	明暗	馬鞍	謎案
mb	明白	毛病	漫步
mh	夢幻	民航	謀劃
mj	面積	民間	滅絕
mg	每個	敏感	芒果
mn	迷你	閩南	某年
mz	名字	民族	妹子
mi	門窗	牧場	冒出
mk	門口	滿口	模塊
mu	謀殺	門市	蔑視
mf	麻煩	免費	沒法
mm	明明	命名	慢慢
me	名額	面額
mc	每次	某次	賣出
nc	那次	哪次	農村
nd	你的	內地	虐待
ne	哪兒	鳥兒	男兒
ng	那個	能夠	哪個
nh	你好	女孩	內涵
ni	奶茶	拿出	鳥巢
nl	那裏	能力	年齡
nm	你們	那麼	農民
nq	年輕	拿起	女權
nt	哪天	女童	農田
nv	那種	哪種	扭轉
nx	哪些	男性	內心
nz	男子	女子	內在
nf	能否	南方	奶粉
nj	年級	農家	凝聚
nk	耐看	扭虧	鳥瞰
nn	年內	暖暖	尿尿
nu	女生	牛市	能說
ns	濃縮	南宋	暖色
nr	內容	女人	男人
pg	蘋果	排骨	偏高
ph	平衡	配合	破壞
pi	品嚐	普查	賠償
pp	批評	批判	匹配
pj	偏見	判決	票據
pz	瓶子	痞子	飄走
pc	配菜	泡菜	破財
pm	排名	泡沫	剖面
pn	叛逆	泡妞	排尿
pa	偏愛	破案	拍案
pf	平凡	篇幅	噴發
pb	旁邊	配備	漂泊
pk	撇開	剖開	盤虧
qp	俏皮	欽佩	全屏
qy	球員	卻又	愜意
qm	前面	清明	且慢
qn	青年	卻能	怯懦
qs	切碎	青澀	秋色
qt	其他	羣體	晴天
qq	悄悄	求求	請求
qu	其實	強勢	權勢
qi	清楚	切除	翹楚
qx	取消	求學	情緒
qr	確認	窮人	恰如
ri	日常	讓出	扔出
rr	仍然	日日	柔軟
rv	認真	忍着	任職
rh	然後	如何	柔和
rj	軟件	人家	仍舊
rs	染色	熱死	認識
ru	入手	瑞士	仍是
rf	染髮	潤膚	人防
re	然而	入耳
sh	時候	搜狐	撒謊
sj	時間	數據	撒嬌
su	算術	掃射	撒手
sg	三個	四個	送給
si	俗稱	賽場	送出
sr	雖然	騷擾	痠軟
sv	隨着	三種	賽制
ss	搜索	色素	算算
so	喪偶
sf	算法	縮放	三方
se	孫兒
ti	填充	特長	彈出
tr	突然	他人	太熱
tv	體制	途中	太重
th	體會	太好	桃花
tj	條件	投機	囤積
tp	圖片	投票	逃跑
tu	聽說	特殊	跳水
te	胎兒	天鵝	徒兒
tg	提高	團購	特工
tc	推測	特此	搪瓷
tm	他們	她們	它們
ts	特色	投訴	推送
ta	圖案	天啊	疼愛
tk	挺快	推開	偷窺
tz	帖子	天子	毯子
ty	同樣	天涯	體育
uf	身份	雙方	上方
ug	身高	說過	帥哥
uh	傷害	生活	社會
ul	上來	說了	設立
uv	甚至	說着	誰知
uz	傻子	涉足	繩子
ue	首爾	少兒	稅額
ui	時常	少喫	說出
ur	生日	雙人	燒肉
uy	使用	屬於	上演
uk	上課	水庫	收看
ua	涉案	上岸	是啊
uj	時間	收集	生薑
uw	水位	說完	奢望
ud	收到	受到	說道
vg	這個	中國	整個
vl	這裏	週六	賺了
vs	正是	折算	撞死
vw	周圍	這位	追尾
vi	找出	忠誠	追查
vr	找人	准入	折讓
vz	正在	站在	桌子
vk	狀況	這款	展開
ve	這兒	中俄
vh	只會	正好	賬號
vv	這種	真正	戰爭
vj	直接	專家	洲際
va	鍾愛	這啊	專案
vd	知道	這點	終點
vf	中方	政府	支付
vu	只是	只剩	忠實
wg	外觀	我國	違規
wj	挖掘	穩健	旺季
wf	無非	微風	歪風
wh	外匯	往後	文化
xs	嚇死	形似	血色
xi	行程	學成	形成
xp	行騙	嚇跑	新品
xr	顯然	形容	血肉
xn	想念	匈奴	學年
xq	下去	象棋	秀氣
xx	謝謝	想想	休息
xm	下面	學名	熊貓
xu	小時	學生	虛實
yh	要好	迎合	圓滑
ys	意思	有所	也算
yu	於是	原始	鑰匙
yt	櫻桃	液態	猶太
yz	樣子	嚴重	原則
ye	嬰兒
yr	圓潤	縈繞	有人
yy	一樣	應用	意義
ya	冤案
yb	一般	月報	樣本
zg	最高	足夠	糟糕
zh	最後	做好	走好
zs	走私	再三	作祟
zv	阻止	增長	尊重
zz	坐在	最早	足足
zf	字符	總分	罪犯
zr	自然	責任	早日
zi	組成	作出	走出
zu	則是	走勢	暫時
za	最愛	阻礙	作案
ze	總額	罪惡
aaa	啊啊啊
add	啊對對	矮墩墩
adl	奧地利	按道理	暗地裏
adm	奧達曼
agd	按規定
ahv	愛好者
ajd	安靜的	安靜點
alg	安了個
alh	安理會	阿嘍哈	阿里漢
als	愛麗絲	安樂死
alw	安樂窩	埃裏溫
aqd	安全帶	安全的
aqk	安全褲
atm	奧特曼
avd	挨着的
axx	愛學習
ayh	奧運會	哎呦呵	愛一行
baq	不安全	寶安區
bbb	不不不	別別別
bbk	不包括	比比看	揹包客
bbl	比不了	巴比倫	八百里
bbm	幫幫忙	把把脈	白幫忙
bbn	並不能	八百年
bbp	抱不平
bbu	並不是	比不上	擺擺手
bbv	憋不住	繃不住	保不住
bbz	半輩子	拜把子	包包子
bcz	不存在
bda	不對啊
bdb	不得不	不達標
bdd	不單單	不動點	不對的
bde	半點兒	半道兒
bdf	貝多芬	白癜風
bdg	白大褂
bdh	本地化	北戴河	北大荒
bdi	不動產	不對稱	白帝城
bdj	不對勁	被大家
bdl	不得了	背地裏	不打了
bdm	幫倒忙
bdq	不定期	冰凍期	本地區
bdr	本地人	班得瑞
bds	不打算	被打死	變電所
bdt	半導體	不對頭
bdu	表達式
bdw	本單位	不倒翁	不等我
bdx	北斗星	不動心	不得行
bdy	不等於	不得已	不答應
beg	巴爾幹
beh	北二環
bei	板兒車
bej	白堊紀
bek	波爾卡
ben	伯爾尼	包二奶
bex	不二心
bfg	避風港
bfl	爆發力	百分率
bfp	捕風瓶
bfq	播放器	不服氣	別放棄
bfu	比方說
bfx	不放心	暴風雪	被發現
bga	併購案
bge	冰棍兒	飽嗝兒
bgl	辦公樓	不歸路	不管了
bgn	不給你	布穀鳥
bgp	不公平
bgq	辦公區
bgr	被告人
bgv	辦公桌	半個鍾
bgy	半個月	不管用	不甘於
bha	不會啊
bhk	報戶口
bhl	不合理	不回來	捕獲量
bhn	薄荷腦	不好弄
bhq	保護區	不合羣	不回去
bhx	不和諧	保護性
bhz	不會再
bil	不出來	不成立
bjb	筆記本
bjk	不健康
bjn	比基尼	比較難
bjq	編輯器	不久前	報警器
bju	北京市	絆腳石	畢竟是
bkl	不考慮	伯克利	包括了
bkn	不可能	不可逆
bkq	不客氣
bkx	不科學	不開心
bli	暴露出	玻璃窗	碧螺春
blj	不瞭解	不理解	八路軍
blp	玻璃瓶	舶來品	菠蘿啤
blt	便利貼	柏拉圖	巴雷特
blv	避雷針	玻璃珠	八里莊
blx	不理想	玻璃心	波浪形
blz	半拉子	冰溜子	伯利茲
bna	不能啊
bnk	不能看
bny	不能有	不能用	保暖衣
bnz	白娘子	不能在
bpa	保平安
bpd	不平等
bpg	變頻管
bph	不平衡	白平衡	不配合
bpi	不排除	不平常	不排斥
bpl	被騙了
bpn	不騙你
bpp	不匹配
bpq	變頻器
bpu	白皮書	不怕事
bqb	表情包
bqe	白求恩
bqf	版權法
bqg	不奇怪	版權歸	補牆膏
bqh	搬遷戶
bqi	不清楚	不牽扯
bqj	閉區間	白切雞	版權局
bql	比起來	冰淇淋	不去了
bqn	並且能	比丘尼
bqu	並且是
bqy	標籤頁	不起眼	不情願
brc	百日草
brd	不人道	別人的	不認得
brh	白熱化	百日紅
brj	別人家
brk	被認可
brl	不入流
brm	白日夢	白日門
brn	不然呢	不惹你
brq	哺乳期	不讓去
bru	比如說	不如說	不認識
brw	不認爲
bry	不容易	不如意
bsb	不是吧	比薩餅
bsd	不是的	波塞冬
bse	貝賽爾
bsg	不是個	變速桿
bsl	變色龍
bum	不是嗎
bsu	不是說	不算數	不算事
bta	變態啊
btb	比特幣
btd	不同的	不停地	標題黨
bth	不太好	本土化	不太會
btk	不痛快
btl	拜託了	別提了	標題欄
btx	不太行	不太像	扁桃腺
bty	不同於	不同意	不統一
bub	不是吧	不上班
bud	波士頓	不捨得	辨識度
bug	不是個
buh	不適合	不說話	博士後
bul	不說了	不少了	伴手禮
buq	半衰期	保稅區
bva	編者按
bvb	標準版
bvd	不知道	不值得	不着調
buf	不舒服	標識符
bvg	把這個	包裝工
bvh	標準化	包裝盒
bvi	不支持	標準差	不正常
bvk	標準庫
bvl	板着臉	備註欄
bvp	標誌牌
bvq	不正確	不值錢	保質期
bvr	班主任	保證人
bvt	拜占庭	不中聽	不折騰
bvu	本質上	不只是	保證書
bvv	標誌着	標準值
bvw	不指望	杯中物	標誌物
bvx	標誌性	半炷香	不珍惜
bvy	不至於	不重要	別這樣
bwb	保溫杯
bwd	不穩定	北溫帶	保溫袋
bwe	不玩兒	鮑威爾
bwg	博物館
bwl	備忘錄
bwn	不爲難
bwp	保溫瓶
bwq	不完全	包圍圈	抱委屈
bxa	不行啊
bxd	不曉得	保險單	不行的
bxf	保險費	不相符	變戲法
bxh	不喜歡	不像話	不稀罕
bxi	表現出	不相稱	別瞎扯
bxj	步行街	保險金	變形記
bxk	必修課	保修卡
bxl	不行了	表現力	不限量
bxn	不像你	不信呢	不行呢
bxq	保修期	白血球	不想去
bxs	不遜色	保險絲
bxt	本系統
bxu	半小時	便攜式	八小時
bxv	剝削者	八仙桌
bxw	表現爲	不希望	不想玩
byk	不要看	不愉快	半月刊
byn	比翼鳥	百餘年	不油膩
byq	編譯器	變壓器	不要錢
byv	不一致	畢業證
byy	不一樣	不願意	不亞於
bzd	半自動
cbc	從不曾	猜不猜
cbh	纔不會	從不會	從背後
cbq	擦邊球	湊不齊
cbx	纔不信
ccy	曾參與
cgb	從根本
chl	詞彙量	存活率	纔回來
cjg	粗加工	才幾個
cld	催淚彈	纔來的
cnl	從哪裏
cpg	擦屁股	裁判官
cvl	猜中了
cyc	催一催	猜一猜	湊一湊
cyg	曾有過	測壓管
cyx	催一下
dbg	打不過	大半個	都不敢
dbh	都不會	東北虎	都不好
dbl	大不了	打不了	倒閉了
dbn	都不能	但不能	大半年
dbp	都不怕
dbq	對不起	都不缺
dbs	倒不是	打不死	都不算
ddd	端到端	打點滴
ddf	的地方	凍豆腐
ddh	打電話	丹頂鶴	堵得慌
ddt	點點頭
ddu	大多數	到底是	多的是
ddv	東道主	對得住	等待着
ddx	的東西
ddz	大動作	打底子
kfv	開發者
dfk	豆腐塊
dfn	豆腐腦	答覆你
dft	答覆他
dfu	電風扇	地方稅	地方上
dfw	大範圍	丟飯碗	答覆我
dgf	大鍋飯	得高分
dgs	打官司	大公司
dhe	等會兒	待會兒	大夥兒
dhl	帶回來	打呼嚕	德黑蘭
djh	大家好	大傢伙
djj	大結局	對講機	大姐姐
djl	多久了
djt	電吉他	單晶體	第幾天
djz	單子	大舅子
dkl	抵抗力	多虧了	打開了
dkt	大塊頭
dlv	頂樑柱	第六章
dml	都沒了	達美樂
dnd	等你到	電腦端
dng	都能夠
dnv	電腦桌	打內戰
dnx	對那些
dpb	的旁邊
dql	打起來	動起來	躲起來
dqr	地球人	地球日
dqu	大趨勢	的確是
dqx	大清洗	道歉信	地區性
dqy	大企業	大氣壓
dqz	大清早	兜圈子	盜竊罪
dsb	第三遍	第三步
dsf	第三方	第三份
duj	電視劇	電視機
dsv	第三種	第三者
dtu	大體上	地頭蛇	但同時
dtx	獨特性	打天下
duh	的時候	到時候	董事會
dur	當事人	多少人	低收入
duu	的身上
dux	都是些	代數學
dvh	打招呼	地中海	大衆化
dvl	電渣爐	呆住了
dvy	都這樣	黨中央
dvz	兜着走	大製作
dwd	等我到	低緯度
dwj	端午節	第五季
dwl	都忘了	都完了	耽誤了
dwt	等問題
dwv	隊伍中	單位制
dwx	等溫線	等我下
dxw	定心丸	都希望
dyl	第一輪	大意了	獨眼龍
dyp	電影票	單眼皮	代用品
dyv	第一種	大洋洲
dyz	多音字	的樣子
dzc	倒栽蔥
dzj	打字機	對自己
dzl	肚子裏	都走了	電子流
dzp	動作片
dzr	大自然
dzv	黨組織	打嘴仗
dzy	打字員
ebd	二把刀
ebu	而不是	二把手
ebw	二百五	二百萬
ecy	二次元
egz	耳刮子	二狗子
eht	二婚頭
ejv	二進制	惡即斬
elm	餓了麼
els	俄羅斯	二〇三	二〇四
elz	二流子	二愣子
epf	耳旁風
ewm	二維碼	而我們
ezj	惡作劇
fbd	防波堤
fbf	煩不煩	服不服
fbu	分佈式	封閉式	分別是
fdj	發動機	發電機	放大鏡
fdl	發達了
fdx	放得下	發短信
ffv	分分鐘	分封制
fgl	反過來
fhb	發紅包	防化兵
fhl	肺活量	防護林	復活了
fhq	防火牆	孵化器
fih	非常好	非常壞
fil	放出來	反潮流	非常冷
fku	費口舌	分開說
flb	菲律賓	復錄比
fld	反壟斷	法拉第	分量大
flf	翻了翻	福利費	福利房
flh	風涼話	氟利昂	分類號
fln	服了你
flx	法蘭西	分量小	非理性
fmg	父母官
fmq	父母親	發明權	房門前
fmr	發明人	復明日
fnl	負能量	服你了	放牛郎
fqj	番茄醬	反潛機	發請柬
fql	放棄了	飛起來	發起了
fqw	廢棄物	富趣味
frl	否認了	發熱量
fud	發生的
fsl	煩死了	放鬆了
fsu	分散式
fsz	分散在
ftz	繁體字	發帖子
fvb	紡織部	放這吧
fvl	非主流	負債率	附着力
fvm	輔助碼	非著名
fvu	反正是	發展史
fvx	輔助性	放長線	副主席
fwd	服務端
fwq	服務器
fwr	防污染
fwt	防衛廳	發完貼
fxb	風向標	發行版
fxl	發現了	放心了	返修率
fxp	方向盤	氟西泮
fxq	飛行器	分析器
fxx	非線性	方向性	風蕭蕭
fyf	翻一翻	撫養費
fyr	發言人	反應熱	撫養人
fzr	負責人	負責任
gcd	剛纔的
gcl	搞錯了	棺材裏
gcm	各層面	乾脆面
gdl	搞定了
gdv	夠得着	管得着
gdx	過渡性	鬼東西
gdy	古典樂	乾瞪眼
gfl	搞反了	鼓風爐	國富論
gfv	股份制
ggx	高跟鞋
ggz	高個子
ghg	共和國	觀後感
gid	觀察到	共產黨	滾牀單
gil	觀察力	滾出來	趕潮流
giq	滾出去	剛出去	趕出去
giv	過程中	觀察者	管喫住
gku	剛開始	改口說
gll	過來了	孤零零	高利率
glv	橄欖枝
gly	管理員	鼓浪嶼	橄欖油
gmb	搞明白
gmd	國民黨	高密度	古明地
gme	哥們兒	趕明兒	改明兒
gmg	鬼門關	跟美國
gml	購買力	根目錄	感冒了
gmn	幹嘛呢
gmt	各媒體	灌米湯
gmu	跟沒說
gqu	過去時	高情商	感情上
grz	過日子	果然在
gsn	告訴你
gtt	共同體	光禿禿	甘特圖
gtz	狗腿子	趕他走
gul	過時了
gwi	購物車
gxh	個性化	關係戶	更喜歡
gxl	高效率	公信力	更新了
gxn	高性能	感謝你
gxq	感興趣	滾雪球
